Image	A10_D11	A10_B18
1002	1,93	1,52
1002	1,83	1,4
1002	1,29	1,05
1002	1,89	1,51
1002	1,79	1,81
1003	1,38	1,63
1003	2,29	2,41
1035 ctd	0,99	0,995
1035 ctd	1,4	0,516
1035 ctd	1,4	2,16
1035 ctd	1,54	2
1035 ctd	1,08	2,3
1035 ctd	0,824	0,562
1 3	0,947	0,394
1 3	1,33	1,92
1 3	0,761	0,773
1001 3	2,24	2,5
1001 3	1,89	2,25
1002 3	0,949	0,609
1002 3	0,814	0,681
1002 3	1,99	1,85
1002 3	1,59	1,55
1002 3	2,69	2,45
1002 3	1,16	0,909
1004 3	1,03	1,4
1004 3	1,24	1,53
1004 3	2,4	2,7
1004 3	0,522	0,353
1004 3	2,3	2,48
1004 3	2,47	2,07
106 3	1,07	0,986
106 3	1,84	1,91
106 3	1,11	0,923
106 3	1,73	1,59
1007 3	2,16	1,6
1007 3	1,64	3,05
1007 3	1,22	0,637
1007 3	0,969	0,948
1008 3	0,991	1,65
1008 3	1,4	1,69
1008 3	1,22	1,02
1008 3	3,2	3,25
1008 3	2,24	2,86
1008 3	1,69	2,16
1009 3	1,26	1,23
1009 3	1,95	1,59
1009 3	2,33	2,26
1009 3	2,39	1,93
1010 3	1,54	1,73
1010 3	1,91	2,55
1012 3	0,686	0,503
1012 3	2,53	2,48
1012 3	1	1,75
1012 3	2,24	2,51
1012 3	1,16	1,18
1013 3	1,23	1,9
1013 3	0,46	0,458
1013 3	2,55	0,841
1014 3	0,521	0,371
1014 3	1,34	0,879
1014 3	0,778	0,318
1015 3	0,397	0,655
1015 3	1,57	2,24
1015 3	1,26	1,11
1015 3	1,28	1,35
1015 3	1,35	1,44
1015 3	1,91	1,4
1 4	1,74	1,99
1 4	1,01	0,657
1 4	3,15	2,8
1 4	1,44	1,06
1004 4	2,73	1,91
1004 4	2,35	2,77
1005 4	1,67	1,96
1005 4	1,03	1,04
1005 4	2,58	2,61
1006 4	1,4	1,12
1006 4	1,22	1,19
1007 4	0,756	0,411
1007 4	1,4	1,41
1007 4	1,58	1,81
1007 4	1,78	1,92
1007 4	1,22	1,39
1007 4	2,02	2,1
1008 4	0,403	0,459
1009 4	0,792	1,1
1009 4	2,62	1,88
1009 4	1,5	1,59
1009 4	2,28	2,18
1009 4	1,35	1,17
1009 4	0,839	0,702
1009 4	1,27	1,52
1009 4	0,99	1,27
1011 4	1,04	1,29
1011 4	2,28	1,65
1011 4	1,08	1,36
1011 4	1,26	1,68
1011 4	1,32	1,28
1011 4	1,16	0,568
1011 4	0,722	1,58
