Image	K10_F23	K10_F12
1 2	1,38	1,3
1 2	1,12	1,32
1 2	1,07	0,997
1 2	0,979	1,08
1 2	0,786	0,721
1 2	0,401	1,01
1 2	0,261	0,728
1 2	0,589	1,04
1 3	0,737	1,35
1 3	0,304	0,633
1 3	1,63	1,15
1 3	0,437	0,875
1 3	0,917	1,04
1 4	0,563	0,957
1 4	1,64	1,96
1 5	0,588	0,858
1 6	1,73	1,21
1 6	1,38	1,21
1 6	0,676	0,469
1 6	0,977	0,766
7	0,659	0,857
7	1,43	1,35
7	0,608	1,34
8	1,77	2,3
8	0,979	1,13
8	1,82	2,18
9	0,76	1,12
9	1,06	1,41
2 1	1,8	1,38
2 1	1,02	0,909
2 1	0,767	0,759
2 1	0,506	0,952
2 1	2,19	1,9
2 1	0,702	0,607
2 1	1,82	2,05
2 2	0,73	0,928
2 2	0,689	1,09
2 2	1,29	1,25
2 2	1,26	0,904
2 3	0,495	0,905
2 3	1,83	1,86
2 3	0,781	0,755
2 4	0,799	0,569
2 4	0,923	0,984
2 4	1,08	1,34
2 4	1,13	0,884
2 4	1,24	0,758
2 4	0,709	0,879
2 4	0,799	0,568
2 5	0,545	0,881
2 5	1,36	1,31
2 5	1,5	1,39
2 5	0,396	0,86
2 5	1,5	1,62
2 5	0,806	1,03
2 5	1,44	1,25
2 5	1,78	1,53
2 6	1,07	1,09
2 6	0,601	0,263
2 6	2,43	1,91
2 6	1,04	1,64
2 6	0,995	0,899
2 7	0,642	0,814
2 7	0,959	1,21
2 7	1,48	1,18
2 7	1,12	1,14
2 7	1,2	0,655
2 8	0,917	0,841
2 8	0,559	0,749
2 8	0,77	1,66
2 9	0,301	1,41
2 9	1,04	0,674
2 11	2,03	2,33
2 11	1,23	0,817
2 11	0,614	1,05
2 11	1,05	1,07
2 11	1,14	1,06
2 11	1,13	0,751
2 11	1,69	1,5
2 12	0,737	1,12
2 12	0,768	1,21
2 12	0,789	0,544
2 12	0,888	1,02
2 12	1,38	1,12
2 12	0,53	0,925
2 13	0,401	0,763
2 13	0,525	0,461
2 13	1,19	0,921
2 13	0,83	1,14
2 13	1,69	1,87
2 13	0,45	0,533
2 14	0,293	0,732
2 14	0,897	0,86
2 14	1,21	1,32
2 14	0,353	1,05
2 14	0,859	1,13
2 14	1,34	1,41
2 15	0,411	0,294
2 15	0,66	1,44
2 15	0,623	1,15
