Nucleus	O12_J10	O12_D3
1	1,51	0,963
1	1,06	1,4
1	1,35	1,56
1	0,805	0,573
1001	0,578	0,722
1001	0,278	0,409
1001	1,37	2,45
1001	0,612	0,869
1001	1,08	0,869
1001	1,48	1,8
1001	0,188	0,54
1001	1,62	1,56
1001	1,47	1,8
1001	1,12	1,41
1003	0,332	0,757
1003	0,632	0,799
1003	1,39	0,938
1003	0,945	0,586
1003	0,688	0,582
1003	0,981	1,48
1004	1,83	1,55
1004	1,28	0,647
1004	1,32	0,558
1004	1,01	0,578
1005	0,567	1,67
1006	1,38	0,492
1006	2,35	2,83
1006	1,98	2,29
1006	1,98	2,09
1006	1,42	1,71
1006	1,52	1,56
1006	0,215	0,955
1006	0,642	0,356
1007	1,97	2,26
1007	1,12	0,593
1007	1,38	1,72
1007	0,954	1,07
1007	0,71	1,4
1008	0,44	0,234
1008	0,753	1,59
1008	1,13	1,89
1008	0,792	0,856
1009	1,35	2,4
1009	0,457	0,651
1009	0,811	0,804
1009	1,74	2,23
1009	1,48	1,26
1012	1,99	2,11
1013	1,14	1,26
1014	1,5	1,27
1014	0,456	1,12
1014	1,15	0,602
1016	2,23	1,81
1016	1,65	1,52
1017	3,08	2,81
1017	0,505	0,244
1017	1,32	0,768
1017	1,29	1,9
1018	0,904	1,14
1018	0,315	0,557
1019	0,905	0,583
1019	1,19	1,46
1019	1,41	1,27
1020	1,48	1,28
1020	1,06	1,19
1020	1,38	2,65
1020	0,931	1,38
1020	0,915	0,973
1021	1,63	2,8
1021	1,72	1,82
1021	0,667	0,415
1021	0,929	0,922
tam	1,6	1,6
tam	0,619	1,01
tam	0,931	0,739
tam	0,517	0,58
tam	1,24	1,85
tam	1,11	1,28
1020 2	0,764	0,396
1022 2	1,21	1,44
1020 2	1,59	2,32
1020 2	2	2,54
1020 2	0,734	0,417
1024 2	1,2	1,15
1024 2	1,24	1,26
1024 2	1,07	2,17
1024 2	1,04	0,754
1	1,65	0,488
1	0,728	2,31
1003	1,46	1,51
1003	2,35	1,97
1003	0,648	0,219
1004	1,98	0,65
1004	0,961	1,44
1006	0,999	1,13
1006	1,14	0,747
1006	1,68	1,81
1008	0,698	0,401
1008	1,1	1,92
1008	1,11	1,08
1008	0,935	2,1
1010	0,447	0,537
1010	2,87	1,79
1010	0,482	0,665
1010	1,12	0,882
1010	0,934	1,4
1010	0,786	1,3
1010	1,07	1,7
1011	1,28	1,19
1011	1,21	1,15
1011	0,515	1,16
1011	0,949	1,11
