Image	O12_J10	O12_D3
1	0,891	1,28
1	1,03	1,49
1	1,31	0,849
1	1,21	1,06
1	3,06	3,21
1	0,77	1,81
1	2,88	1,91
2	1,26	1,8
2	0,474	1,76
2	2,07	1,54
2	2,57	1,79
2	2,39	1,98
2	2,1	2,13
2	2,31	2,89
4	1	0,874
4	1,5	1,06
4	0,611	1,31
4	2,12	2,57
4	0,711	1,17
4	1,66	2
4	1,07	1,2
4	0,97	1,02
4	1,57	1,7
5	1,87	1,67
5	1,26	1,46
5	1,24	1,4
5	1,54	1,31
5	1,56	1,2
5	1,41	1,72
5	2,38	2,52
5	0,799	1,48
5	0,616	0,883
5	1,87	1,6
5	1,45	1,99
5	1,94	2,3
6	3,14	3,32
6	1,49	1,97
6	1,42	1,3
6	0,378	1,77
6	1,06	1,69
6	0,478	1,11
6	1,59	1,85
6	2,28	1,93
7	0,758	0,253
7	0,798	1,11
7	0,929	1,03
7	1,2	1,52
8	2,15	2,22
8	1,34	0,945
8	2	2
8	0,879	0,921
8	0,911	0,726
8	1,65	1,31
8	1,98	2,09
8	0,49	0,745
9	0,636	1,22
9	1,29	1,59
9	1,31	1,38
9	1,26	1,02
9	1,63	0,963
9	1,4	1,31
9	1,54	1,19
9	1,48	1,66
9	0,968	0,948
10	1,29	2
10	2,15	2,87
10	1,42	1,32
10	0,78	1,39
10	1,19	1,39
10	1,29	2
11	1,44	0,684
11	1,54	2,18
11	2,13	1,91
11	0,358	0,512
11	1,84	2,48
11	1,14	1,62
12	1,29	1,88
12	1,33	0,502
12	0,663	1,84
12	1,33	0,502
12	1,21	1,07
12	0,608	1,27
12	2,18	2,31
12	0,86	1,05
12	0,356	0,674
12	1,11	1,15
12	1,11	1,26
